gobi,YR,NTP,NCC,CSD,Qaidam Basin,Qilian Piedmont
803,439,433.4,2242.466231,2337,1015.143764,2452.7
842,388,434.6,2248.939309,2350,1054.017809,571.9
324,1577,435.4,2254.53423,2359,1056.1876,265.7
361,2610,436.4,2285.640924,2427,1068.688929,2298.6
323,2155,437.2,2320.511389,2439,1093.442688,2403.2
846,1604,437.8,2329.993296,2503,1119.460293,473.7
324,255,439.3,2331.260562,200,1132.327779,1854.7
517,1642,442,2340.55833,215,1148.608904,1968.4
378,2261,442.5,2341.473404,216,1154.101413,304.8
367,316,442.6,2356.489386,219,1154.621855,553.4
351,2954,443,2373.701904,219,1185.208567,451.9
335,606,443.3,2375.713533,221,1205.512306,326.4
329,20.9,444.5,2382.065326,225,1209.481887,385.9
825,914,445.1,2383.399005,226,1220.019161,1216.7
320,880,445.3,2394.024447,232,1226.898508,1895.7
327,645,448.4,2409.272305,236,1272.522698,1735.6
356,391,449.4,2428.35122,238,1280.716374,315
368,272,450.4,2433.940333,240,1294.002637,251.1
330,436,454.3,2444.947678,241,1313.085438,1692.4
307,993,454.4,2447.181639,244,1319.372592,479.5
527,243,457.6,2455.871794,245,1338.563112,1757.7
318,1871,458.1,2457.244713,245,1338.89057,1497.1
341,357,463.7,2469.437914,248,1360.657939,864.6
326,1668,472.9,2472.574637,257,1385.974573,365.9
534,728,512.1,2474.349092,258,1389.169051,1215.4
326,2534,623,2474.870575,258,1404.300141,1964.7
329,2001,697.2,2483.085097,261,1426.557286,347.4
316,2019,734.8,2485.674916,263,1428.777018,2563.7
329,388,752.3,2498.964967,266,1429.087631,2258.5
331,1749,774.9,2504.287744,267,1445.145041,2621.7
332,1912,783.4,2507.655493,273,1451.220191,392.2
319,546,785,2512.844763,273,1505.112252,295.1
322,450,800.7,2514.063057,277,1512.505617,286.4
324,695,811.5,2528.200867,279,1533.107064,329.7
324,1927,826.9,2529.104995,280,1545.82444,2306
317,671,879.4,2530.811247,281,1563.374285,2505.6
380,438,889.3,2561.477444,284,1591.996355,301.9
340,246,927.2,2590.82999,292,1603.677464,1700.4
326,433,943.6,2591.887887,301,1623.277833,301.5
336,670,954.2,2639.355043,301,1681.030104,417.1
324,1245,971.5,2674.087949,311,1763.068269,2342.8
335,436,974.4,3413.68923,311,1767.755719,1955.4
336,1918,976.6,138.5802998,311,1864.998896,1065
322,916,977.1,145.0125887,317,2492.854175,658.3
325,266,980,238.6228028,320,647.6643552,292.9
319,407,987.8,249.9810322,324,648.1566878,1689.4
340,437,1002.5,250.1050553,336,649.9819287,1889
383,411,1003.3,256.3031734,336,688.0150707,2300.8
339,440,1011.4,256.8607118,338,689.191402,1919.8
331,657,1037.4,259.3380772,340,715.7644343,1108.5
334,302,1110.9,260.7002224,341,717.7806786,2855.8
334,432,1113.2,261.2573807,348,718.0473339,1032.3
320,592,1175.1,262.7429007,350,723.6782431,1462.1
320,2583,1184,265.1561409,356,725.4302973,490.7
319,755,1307.4,265.4654653,358,729.0124664,2450.7
480,439,1357.1,266.6407629,359,733.2481336,900.4
400,1119,1380.5,268.0632048,360,739.2004112,333.7
325,723,1398.3,269.6708048,360,741.3889341,2349.1
387,417,1725.3,270.2271884,360,746.8104466,865.4
335,831,1803.3,270.5980841,365,757.7676041,282.4
1558,1277,1832,273.0701767,366,764.250895,2475.7
328,2520,2007.9,273.4409089,368,765.04631,1063.6
328,194,2059,274.0587484,368,769.6004807,268.8
349,374,2074.5,274.9853967,368,770.2286939,449.2
324,875,2084.9,276.5912716,370,774.5985192,358.1
333,328,2228.8,277.6410505,375,779.0226305,374.4
337,435,2268.1,278.3202281,376,785.172499,365.4
336,424,2801.3,278.9376002,378,785.5813131,497
1830,204,226.4,279.1845325,379,786.9225277,454
1448,913,251.7,280.9127937,381,788.1037942,1935.7
1117,925,256.6,284.3679266,386,788.1993583,284.4
494,1867,257.7,284.7996881,387,790.0484026,706.1
1533,443,257.8,285.0463959,395,797.497595,1952.2
838,935,263.2,286.6497668,396,797.5363437,2490.5
921,793,272.8,292.6280567,401,797.7974237,1743
2287,435,273.7,295.2764538,401,800.6662229,480.6
1479,1982,280.4,306.9041993,407,801.4034305,440.6
2727,291,304.4,312.0039434,408,802.6174307,324.3
1442,628,316.8,356.56219,409,805.5650013,174.9
497,2437,347.7,401.2385912,411,806.1998654,436.7
1219,1919,404.3,429.7663384,412,806.660994,442.8
1331,785,412.6,438.4446454,414,807.0272071,1066.8
1170,358,416.6,459.7893122,420,808.0821484,1144.1
1032,233,419,460.569608,428,808.6799872,917.8
885,493,424.6,471.8433399,437,808.7296424,334.1
2711,1352,427.8,508.3473978,447,809.259988,1766.9
3141,476,428.9,1623.338928,452,809.3650509,426.3
481,978,429.7,1652.458568,458,809.407557,412
524,416,431.7,1655.1939,464,809.6106995,265.8
1773,275,436.5,1660.104941,483,811.1384477,311.6
1389,281,436.7,1661.012628,496,811.8446031,1368.9
1036,895,437.7,1662.463783,507,812.0499878,1160.4
846,669,438.8,1664.637881,523,819.6959043,517.8
742,779,439.1,1678.3343,531,820.8209573,521.7
1106,2414,439.4,1699.884865,568,823.9961758,630.3
1673,1561,439.4,1700.06168,575,824.5995966,1645
1847,1880,440,1712.562386,584,825.9704255,997.8
1896,1792,441.6,1736.909138,595,828.0469607,326.9
2565,2322,441.6,1772.362905,627,828.3391189,422.8
1390,274,443.4,1848.213643,642,829.6697166,1815
1717,1825,443.9,1852.848054,652,831.293072,2160.4
1682,471,444.1,1858.104139,653,896.5009718,535.1
1541,1558,444.5,1865.874416,661,1119.493649,428.8
910,945,444.6,1872.659833,695,1254.48888,2445
1704,366,445.1,1886.60611,717,1351.20703,1785.1
964,1260,445.5,1898.102714,720,1377.68878,1828.6
2970,2368,449.5,1906.897716,741,1528.042542,1933.1
2689,962,450.5,1909.510697,746,1546.492305,1832.1
1721,839,453.2,1920.526543,746,1560.374337,433
2217,440,454.9,1930.249971,755,1657.440396,512.5
532,365,455.1,1934.483936,769,1735.230156,523.7
510,799,458.1,1936.143966,779,1756.611516,1843.3
1270,831,458.5,1945.915331,800,1785.267699,469.4
790,675,459.1,1950.104692,830,1879.171968,315.3
1690,354,463.8,1960.081237,844,1999.717267,239.9
1668,531,469.2,1971.316864,870,2026.700384,461
336,440,473.4,1972.494598,935,2037.524837,297.4
1680,709,477.5,1990.339458,947,2079.217701,293
2135,237,479.8,1994.404697,949,2151.193218,323.6
399,2169,491.2,2006.677324,1106,2378.139521,270.7
