JX,LC,LD,BGY,XF,LNT,JBN,ZTS,HMG,LT,WN,CX,GH,XN
1728.0,437.0,756.0,1824.2,225.0,225.0,209.2,410.0,1968.23815124148,242.1,2481.0,741.0,2479.9,258.0
2456.0,367.0,928.0,475.1,226.0,412.0,697.6,185.0,1642.29957452947,935.0,2629.0,1350.0,263.1,263.0
300.0,848.0,416.0,2514.1,233.0,293.0,1849.7,2256.0,460.52620977151,301.7,101.0,2063.0,2562.4,263.0
1700.0,181.0,882.0,289.4,270.0,174.0,440.7,1711.0,251.28909731599,414.8,104.0,2346.0,2557.3,265.0
283.0,420.0,442.0,283.8,275.0,339.0,437.7,642.0,1889.16642039996,838.3,127.0,444.0,2060.8,267.0
302.0,123.0,857.0,302.1,281.0,234.0,1885.7,234.0,1861.86208703181,742.5,156.0,1975.0,1914.0,269.0
2486.0,683.0,462.0,2499.1,307.0,369.0,247.9,442.0,2150.19533560952,439.1,164.0,500.0,296.9,280.0
1809.0,491.0,848.0,252.3,309.0,413.0,234.2,516.0,1773.66342673999,499.7,205.0,881.0,1871.1,283.0
2045.0,2375.0,1907.0,2000.8,324.0,429.0,270.2,2137.0,197.432305560813,294.2,206.0,508.0,2366.5,287.0
1772.0,462.0,417.0,1094.8,326.0,251.0,274.4,1239.0,1749.22536774985,425.2,208.0,2407.0,1755.0,290.0
1870.0,273.0,420.0,1268.3,336.0,9.0,314.1,1555.0,2130.21434909855,2493.7,210.0,1194.0,2263.0,304.0
282.0,217.0,262.0,784.6,359.0,151.0,1452.2,407.0,2347.0987585555,206.4,210.0,277.0,2422.9,309.0
2226.0,247.0,828.0,1888.5,372.0,258.0,1247.7,303.0,2530.56822993142,644.7,211.0,448.0,1879.6,316.0
2473.0,611.0,449.0,311.6,379.0,374.0,251.3,2004.0,1085.39455575183,1849.3,211.0,367.0,265.7,325.0
1698.0,1932.0,238.0,264.0,379.0,723.0,2125.5,2062.0,237.262339163682,270.2,220.0,330.0,1696.2,325.0
304.0,402.0,1450.0,834.6,382.0,334.0,494.5,2218.0,1882.60657564803,883.3,223.0,1439.0,2527.3,338.0
1956.0,1799.0,457.0,512.5,382.0,127.0,454.6,407.0,255.655215406549,1727.7,226.0,536.0,1798.0,344.0
437.0,330.0,832.0,309.8,391.0,218.0,257.9,1886.0,2489.6506053991,234.0,241.0,551.0,2503.8,399.0
926.0,205.0,940.0,486.4,403.0,440.0,273.4,2432.0,1878.81280149596,449.5,246.0,234.0,2461.1,416.0
1799.0,1980.0,428.0,1915.9,412.0,281.0,369.2,2500.0,2264.36494858052,378.0,261.0,1893.0,1902.4,422.0
2437.0,2543.0,2063.0,597.6,425.0,434.0,474.9,2445.0,314.603371350793,426.4,265.0,442.0,2057.8,422.0
